# 1D background Vs: average of 234 CVM-S4.26 profiles
# Depth(m), Vs(m/s)
0 902.24615384615367
100 1116.277871794872
200 1330.3096068376069
300 1544.3413461538464
400 1758.3730769230763
500 1972.4048076923068
600 2021.4727606837614
700 2070.5406923076935
800 2119.6086495726504
900 2168.6766239316244
1000 2217.7445769230762
1100 2273.3177307692304
1200 2328.8909786324789
1300 2384.4642008547007
1400 2440.0374230769235
1500 2495.610619658119
1600 2527.9376837606837
1700 2560.2646752136743
1800 2592.5917307692312
1900 2624.9187564102567
2000 2657.2458076923076
2100 2704.2745470085474
2200 2751.3032264957269
2300 2798.3319658119644
2400 2845.3606880341858
2500 2892.3893846153846
2600 2921.6153888888903
2700 2950.8413888888895
2800 2980.0673803418795
2900 3009.2933675213694
3000 3038.5193589743585
3100 3055.3015641025636
3200 3072.0838162393175
3300 3088.8660598290612
3400 3105.6482820512833
3500 3122.4305299145308
3600 3137.2131880341876
3700 3151.9957948717943
3800 3166.7784829059851
3900 3181.5611666666655
4000 3196.3437948717924
4100 3213.5004786324816
4200 3230.6571837606848
4300 3247.8138760683746
4400 3264.9705213675206
4500 3282.127226495727
4600 3308.351098290595
4700 3334.5749957264961
4800 3360.7988760683743
4900 3387.0227393162381
5000 3413.246594017095
5100 3440.1175256410284
5200 3466.9883974358945
5300 3493.8593119658108
5400 3520.730226495727
5500 3547.6011196581198
5600 3583.586217948719
5700 3619.5712692307711
5800 3655.5563504273514
5900 3691.5415000000003
6000 3727.526581196581
6100 3753.3535427350421
6200 3779.1804957264935
6300 3805.007444444444
6400 3830.8344273504244
6500 3856.6613846153873
6600 3880.5126367521361
6700 3904.3639743589747
6800 3928.2152350427345
6900 3952.0665299145312
7000 3975.9178418803431
7100 3994.6595940170937
7200 4013.4013461538448
7300 4032.1431153846174
7400 4050.8848589743584
7500 4069.6266324786316
7600 4079.0134487179471
7700 4088.4002649572658
7800 4097.7870769230785
7900 4107.1738888888895
8000 4116.5607222222216
8100 4128.150952991452
8200 4139.7411880341915
8300 4151.3314786324754
8400 4162.9216623931616
8500 4174.5118931623956
8600 4174.5983888888904
8700 4174.6848418803429
8800 4174.771320512823
8900 4174.8577692307699
9000 4174.9442777777786
9100 4174.1413076923036
9200 4173.3383162393184
9300 4172.535350427348
9400 4171.7323931623914
9500 4170.9294700854716
9600 4160.5798675213673
9700 4150.2303376068357
9800 4139.8807264957277
9900 4129.5311794871795
10000 4119.1815598290605
10100 4106.1622606837609
10200 4093.1428888888872
10300 4080.1235512820508
10400 4067.1042179487185
10500 4054.0848205128195
10600 4032.9546452991449
10700 4011.8244829059845
10800 3990.6943461538485
10900 3969.5641495726468
11000 3948.4339957264929
11100 3929.0283675213659
11200 3909.6227435897449
11300 3890.2171452991433
11400 3870.8115427350399
11500 3851.4059017094
11600 3831.9486965811961
11700 3812.4914658119674
11800 3793.0342094017083
11900 3773.5769743589735
12000 3754.1197692307696
12100 3734.9009358974345
12200 3715.6821666666669
12300 3696.4634230769225
12400 3677.2446111111112
12500 3658.0258119658106
12600 3644.306119658118
12700 3630.5863931623949
12800 3616.8667521367524
12900 3603.1470384615391
13000 3589.4273717948718
13100 3575.7280641025654
13200 3562.0287521367522
13300 3548.3294914529915
13400 3534.6301880341898
13500 3520.9308974358974
13600 3515.6205726495723
13700 3510.3102564102533
13800 3504.9999358974333
13900 3499.6896239316256
14000 3494.3793247863264
14100 3489.5214273504298
14200 3484.6634658119669
14300 3479.8055170940147
14400 3474.9475897435882
14500 3470.0896495726515
14600 3474.6025256410262
14700 3479.1154273504289
14800 3483.6283461538478
14900 3488.1412136752137
15000 3492.654064102564
15100 3497.9381239316235
15200 3503.2221666666655
15300 3508.5062094017098
15400 3513.7902606837624
15500 3519.0742991453003
15600 3530.1870256410243
15700 3541.299653846153
15800 3552.4123803418793
15900 3563.525102564101
16000 3574.6377692307697
16100 3586.5541153846143
16200 3598.470393162394
16300 3610.3867521367524
16400 3622.3030940170956
16500 3634.219401709403
16600 3646.3357735042719
16700 3658.452273504276
16800 3670.5687136752144
16900 3682.6850897435938
17000 3694.8015470085488
17100 3707.4859230769234
17200 3720.1702777777764
17300 3732.8546367521371
17400 3745.538978632479
17500 3758.2233589743591
17600 3768.2343504273522
17700 3778.245341880342
17800 3788.2563632478618
17900 3798.2673846153825
18000 3808.2783119658116
18100 3817.525376068374
18200 3826.7724059829061
18300 3836.0194316239322
18400 3845.2664786324804
18500 3854.5135512820543
18600 3859.5628760683721
18700 3864.6122307692317
18800 3869.6615854700863
18900 3874.7109188034196
19000 3879.7602435897443
19100 3884.605705128205
19200 3889.4511452991433
19300 3894.2965555555538
19400 3899.1419829059851
19500 3903.9874230769224
19600 3905.6161239316243
19700 3907.2448333333309
19800 3908.8735384615406
19900 3910.5022264957256
20000 3912.1308931623948
20100 3913.7000299145298
20200 3915.2692222222208
20300 3916.8383632478635
20400 3918.4074743589749
20500 3919.9766452991466
20600 3920.0081196581209
20700 3920.0396239316237
20800 3920.071158119657
20900 3920.1026324786312
21000 3920.1341452991442
21100 3920.1494401709419
21200 3920.1647094017103
21300 3920.1800384615372
21400 3920.1953076923087
21500 3920.2105726495756
21600 3919.7871923076918
21700 3919.3637521367536
21800 3918.9403504273514
21900 3918.5169401709413
22000 3918.0935341880349
22100 3917.2557692307714
22200 3916.418021367519
22300 3915.5802820512836
22400 3914.7424871794865
22500 3913.904735042734
22600 3912.5505897435905
22700 3911.196371794872
22800 3909.8421923076917
22900 3908.4880170940155
23000 3907.1338547008522
23100 3905.7225470085477
23200 3904.3112606837635
23300 3902.8999358974343
23400 3901.4886111111095
23500 3900.0772991452977
23600 3898.3792393162398
23700 3896.6811837606842
23800 3894.9830854700836
23900 3893.2850341880353
24000 3891.5869444444443
24100 3889.8814145299134
24200 3888.1758974358991
24300 3886.4703760683765
24400 3884.7648760683737
24500 3883.0593290598281
24600 3881.2259743589734
24700 3879.3926538461533
24800 3877.5592478632498
24900 3875.7259230769232
25000 3873.8925299145326
25100 3872.7965384615395
25200 3871.7005128205142
25300 3870.6044572649553
25400 3869.5084316239327
25500 3868.4123760683779
25600 3867.7269017093986
25700 3867.041397435898
25800 3866.3559059829067
25900 3865.6703760683777
26000 3864.9848888888941
26100 3864.1842863247848
26200 3863.383675213674
26300 3862.5830897435903
26400 3861.7825213675223
26500 3860.9819145299139
26600 3864.5561495726479
26700 3868.1303333333331
26800 3871.7045683760675
26900 3875.2787307692333
27000 3878.85296153846
27100 3883.6980000000012
27200 3888.5430042735024
27300 3893.3880341880345
27400 3898.2329957264951
27500 3903.0780512820497
27600 3908.7844316239321
27700 3914.4908162393153
27800 3920.1972863247852
27900 3925.90364957265
28000 3931.6100299145292
28100 3937.9598418803412
28200 3944.3096367521384
28300 3950.6593675213685
28400 3957.0091410256409
28500 3963.3589273504263
28600 3968.5385854700858
28700 3973.7181153846154
28800 3978.8977393162381
28900 3984.0772905982881
29000 3989.2569743589738
29100 3995.9164487179487
29200 4002.5758717948729
29300 4009.235346153846
29400 4015.8948376068352
29500 4022.5543076923082
29600 4030.517585470086
29700 4038.4809102564086
29800 4046.4442264957274
29900 4054.4074871794855
30000 4062.3708162393168
30100 4067.1770555555549
30200 4071.9833162393143
30300 4076.7895256410247
30400 4081.5957991453001
30500 4086.4020641025654
30600 4091.5181068376064
30700 4096.6341324786326
30800 4101.7501794871778
30900 4106.8662606837606
31000 4111.9822948717938
31100 4113.3326196581183
31200 4114.6829487179475
31300 4116.033239316238
31400 4117.3835384615395
31500 4118.7338076923079
31600 4125.3946153846155
31700 4132.0554145299147
31800 4138.7162008547002
31900 4145.3769230769185
32000 4152.0376965811975
32100 4159.3615555555562
32200 4166.6854316239314
